Date,New Snow,Wind L,Wind H,Direction,Temp,Danger
2023-09-14,0,NA,NA,NA,53,None
2023-09-15,0,NA,NA,NA,59,None
2023-09-19,0,NA,NA,NA,55,None
2023-09-26,0,NA,NA,NA,51,None
